Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7
22.49 , 86 , 16 , 33.2 , 547.885 , 3 , 9
22.35 , 86 , 16 , 33.2 , 565.622 , 3 , 9
22.23 , 86 , 16 , 33.2 , 580.95 , 3 , 9
22.12 , 82 , 16 , 33.2 , 583.755 , 3 , 9
22.2 , 80 , 16 , 33.2 , 585.136 , 3 , 9
20.38 , 76 , 15 , 32.4 , 562.563 , 4 , 9
19.99 , 76 , 15 , 33.2 , 572.685 , 4 , 9
20.05 , 76 , 15 , 33.2 , 563.021 , 4 , 9
20.12 , 76 , 15 , 33.2 , 554.152 , 4 , 9
19.92 , 70 , 15 , 33.2 , 585.553 , 4 , 9
19.92 , 75 , 15 , 33.6 , 577.553 , 4 , 9
19.92 , 74 , 15 , 33.2 , 581.553 , 4 , 9
27.1582 , 95 , 18 , 33.2 , 390.064 , 3 , 9
26.7416 , 95 , 18 , 33.2 , 411.653 , 3 , 9
26.9299 , 95 , 18 , 33.2 , 401.653 , 3 , 9
27.6917 , 95 , 18 , 33.2 , 389.728 , 3 , 9
20.15 , 76 , 15 , 33.2 , 514.915 , 4 , 9
19.78 , 77 , 15 , 33.2 , 570.54 , 4 , 9
19.84 , 77 , 15 , 33.2 , 560.876 , 4 , 9
19.97 , 77 , 15 , 33.2 , 546.343 , 4 , 9
20.04 , 77 , 15 , 33.2 , 531.475 , 4 , 9
29.0179 , 53 , 18 , 39.3 , 396.788 , 4 , 8
28.2767 , 61 , 18 , 39.3 , 443.135 , 4 , 8
28.3189 , 61 , 18 , 39.3 , 442.004 , 4 , 8
28.3948 , 61 , 18 , 39.3 , 441.119 , 4 , 8
28.437 , 61 , 18 , 39.3 , 439.988 , 4 , 8
28.5436 , 61 , 18 , 39.3 , 436.965 , 4 , 8
29.832 , 55 , 19 , 39.3 , 361.255 , 4 , 8
29.8742 , 55 , 19 , 39.3 , 360.124 , 4 , 8
20.18 , 70 , 15 , 33.2 , 548.488 , 4 , 9
20.11 , 70 , 15 , 33.2 , 557.357 , 4 , 9
21.9739 , 76 , 15 , 33.2 , 449.029 , 4 , 9
20.5983 , 76 , 15 , 33.2 , 510.743 , 4 , 9
21.6717 , 76 , 15 , 33.2 , 466.686 , 4 , 9
21.7139 , 76 , 15 , 33.2 , 465.555 , 4 , 9
21.7561 , 76 , 15 , 33.2 , 462.423 , 4 , 9
21.815 , 76 , 15 , 33.2 , 459.029 , 4 , 9
22.8991 , 76 , 15 , 33.2 , 416.218 , 4 , 9
22.3917 , 76 , 15 , 33.2 , 438.176 , 4 , 9
22.5098 , 76 , 15 , 33.2 , 436.16 , 4 , 9
22.552 , 76 , 15 , 33.2 , 435.029 , 4 , 9
22.8083 , 76 , 15 , 33.3 , 425.31 , 4 , 9
22.5698 , 76 , 15 , 33.2 , 426.777 , 4 , 9
22.612 , 76 , 15 , 33.2 , 425.646 , 4 , 9
22.842 , 76 , 15 , 33.2 , 417.158 , 4 , 9
28.77 , 71 , 16 , 30.9 , 597.155 , 8 , 14
32.5661 , 66 , 16 , 30.9 , 410.203 , 8 , 14
33.0631 , 66 , 16 , 30.9 , 407.604 , 8 , 14
28.72 , 66 , 16 , 30.9 , 621.734 , 8 , 14
29.06 , 66 , 16 , 30.9 , 578.124 , 8 , 14
29.13 , 66 , 16 , 30.9 , 569.255 , 8 , 14
33.194 , 66 , 16 , 30.9 , 376.952 , 8 , 14
34.0386 , 66 , 16 , 30.9 , 328.295 , 8 , 14
35.415 , 62 , 16 , 34.2 , 359.907 , 8 , 14
35.415 , 62 , 16 , 31.8 , 361.387 , 8 , 14
33.7783 , 66 , 16 , 30.9 , 344.283 , 8 , 14
34.1786 , 66 , 16 , 30.9 , 327.471 , 8 , 14
34.2477 , 66 , 16 , 30.9 , 326.631 , 8 , 14
33.6761 , 66 , 16 , 30.9 , 366.863 , 8 , 14
33.7361 , 66 , 16 , 30.9 , 351.415 , 8 , 14
33.9696 , 66 , 16 , 30.9 , 331.135 , 8 , 14
33.9964 , 66 , 16 , 30.9 , 329.426 , 8 , 14
24.15 , 68 , 13 , 33.6 , 556.752 , 12 , 15
23.96 , 68 , 13 , 33.9 , 549.46 , 12 , 15
23.7 , 68 , 13 , 33.9 , 553.176 , 12 , 15
24.45 , 61 , 13 , 33.6 , 502.916 , 12 , 15
24.38 , 61 , 13 , 33.6 , 523.784 , 12 , 15
24.33 , 61 , 13 , 33.6 , 524.244 , 12 , 15
28.9063 , 61 , 13 , 33.9 , 342.079 , 12 , 15
29.4481 , 59 , 14 , 33.9 , 281.577 , 12 , 15
29.451 , 59 , 14 , 33.6 , 317.597 , 12 , 15
28.9439 , 61 , 13 , 33.9 , 314.977 , 12 , 15
29.2656 , 59 , 14 , 33.9 , 311.549 , 12 , 15
29.379 , 59 , 14 , 33.9 , 282.417 , 12 , 15
24.3821 , 68 , 13 , 33.9 , 490.447 , 12 , 15
29.32 , 61 , 13 , 33.9 , 295.97 , 12 , 15
29.365 , 61 , 13 , 33.9 , 274.435 , 12 , 15
24.24 , 68 , 13 , 33.9 , 495.287 , 12 , 15
