Obj1,Obj2,Obj3,Obj4,Obj5,Obj6
83.8583188,123563.1235399,16.8396835,107.8357958,0.0157492,70.1154383,
61.6262527,124237.3975551,13.3409784,110.7942493,0.0158883,70.7348754,
63.1404584,124237.2391686,13.3430464,109.8989724,0.0157717,70.2155671,
88.3306701,123562.5641512,17.0109370,107.4077730,0.0157817,70.2599568,
166.7998868,121542.1072913,25.1609398,106.3000054,0.0168335,74.9425583,
87.7652553,123562.5698077,16.9597693,107.4764919,0.0157832,70.2667665,
117.4696358,122664.9993449,21.3692783,107.9000767,0.0163358,72.7271122,
156.4847727,119298.8813912,26.0862242,118.9371196,0.0186527,83.0416481,
68.2302834,124236.3834097,13.3303642,108.4091624,0.0156275,69.5734308,
87.6951425,123562.5686674,16.9120913,107.4776759,0.0157818,70.2604612,
151.9293237,121989.8041110,23.3582854,103.2090730,0.0160793,71.5848359,
66.5992734,124236.5289369,13.3139564,109.2651124,0.0157355,70.0544025,
80.2124001,123787.2984615,15.8245870,108.2278064,0.0157795,70.2503726,
100.0821165,123114.1575669,19.3461867,108.4954309,0.0161588,71.9391963,
81.2395387,123787.1457801,15.8254862,107.6480280,0.0157077,69.9308178,
1305.6019767,88300.0722767,28.5747992,125.8386405,0.0256537,114.2104825,
595.6419946,102676.5025122,32.4147253,104.3990708,0.0214041,95.2911682,
1328.7835802,91888.5653819,28.7692732,118.7942578,0.0233958,104.1579968,
1268.9814650,91891.5211512,29.0862080,119.0251753,0.0240508,107.0743451,
1074.2260890,95935.4368470,30.7531486,105.3507181,0.0235688,104.9282578,
1107.1488692,91892.9526861,31.0058723,109.3978629,0.0243052,108.2065328,
1279.4329616,91891.6133564,29.3874212,118.4336451,0.0241746,107.6251800,
922.9279624,95487.9846378,31.3812356,105.5044050,0.0231719,103.1612479,
1127.8481626,100871.2733908,27.7756847,106.6156398,0.0203301,90.5096989,
229.4337358,120862.2221221,22.4635328,78.6309133,0.0121996,54.3124778,
242.9286447,119065.7386580,20.8482353,78.9544662,0.0128025,56.9967893,
258.1366402,120854.7812223,19.5684561,62.4792131,0.0075885,33.7837872,
288.9921642,118167.7236550,24.6718684,78.8637554,0.0134752,59.9915761,
289.6841260,118167.5476641,24.6058395,78.2766579,0.0133796,59.5660914,
300.7675382,117718.6080416,24.9406629,79.0319576,0.0136490,60.7653680,
282.4999262,118167.6525935,23.9477062,78.8803699,0.0133690,59.5189274,
545.1946570,109411.1623802,28.5242909,88.7894604,0.0177195,78.8874345,
289.0055343,118167.7238177,24.6810062,78.8629664,0.0134754,59.9925849,
298.6597147,118165.6006273,23.6396213,74.3693793,0.0120561,53.6736202,
1393.1283282,75724.0710409,31.0938968,131.2627455,0.0280335,124.8049757,
1445.0028266,75722.4099478,30.3349082,130.8377655,0.0274968,122.4157543,
1282.7693516,91218.6038562,30.0579397,114.8286997,0.0247909,110.3692662,
1402.6351136,75723.4276640,29.9434380,132.7232519,0.0276750,123.2092189,
1546.5180223,75720.8661895,29.7765428,135.3805740,0.0277469,123.5292782,
171.1140323,121318.7532997,26.3086923,110.2911466,0.0174893,77.8624375,
108.2273611,124226.2786445,5.7354245,70.0695009,0.0074419,33.1313101,
57.8057347,124238.8053501,14.2509970,116.5046099,0.0167838,74.7216190,
57.0088472,124239.0502827,14.3820563,117.3692990,0.0169183,75.3203746,
55.9451554,124239.3385475,14.5271956,118.4572874,0.0170865,76.0691974,
1075.9413214,100871.7033865,27.9649396,102.3313703,0.0204575,91.0769277,
1065.5425382,101094.2192553,28.3045099,98.4579886,0.0193090,85.9637972,
885.2525518,105586.2494026,27.3047819,88.4429324,0.0172318,76.7158736,
1048.4103839,101318.6287489,27.3058054,97.8026886,0.0190284,84.7143300,
1111.1759043,99973.4518426,28.2715221,104.0953963,0.0208556,92.8492342,
1083.3783021,100870.3246705,28.6117896,98.9926860,0.0197479,87.9174454,
283.2076329,116385.4121655,38.4469844,135.2816336,0.0228118,101.5579247,
300.4106558,116385.6027150,38.3199620,136.0731505,0.0230776,102.7415641,
289.4812641,116160.7921176,38.3737344,135.0873997,0.0228489,101.7233769,
276.4301085,116610.0255404,38.3104031,135.4808879,0.0227656,101.3526226
